route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
"91190","691","1871967","","1",,
"91190","691","1871968","","1",,
"91190","691","1871969","","1",,
"91190","691","1871970","","1",,
"91190","691","1871971","","1",,
"91190","691","1871972","","1",,
"91190","691","1871973","","1",,
"91190","691","1871974","","1",,
"91190","691","1871975","","1",,
"91190","691","1871976","","1",,
"91190","691","1871977","","1",,
"91190","691","1871978","","1",,
"91190","691","1871979","","1",,
"91190","691","1871980","","1",,
"91190","691","1871981","","1",,
"91190","691","1871982","","1",,
"91190","691","1871983","","1",,
"91190","691","1871984","","1",,
"91190","691","1871985","","1",,
"91190","691","1871986","","1",,
"91190","691","1871987","","1",,
"91190","691","1871988","","1",,
"91190","691","1871989","","1",,
"91190","691","1871990","","1",,
"91190","691","1871991","","1",,
"91190","691","1871992","","1",,
"91190","691","1871993","","1",,
"91190","691","1871994","","1",,
"91190","691","1871995","","1",,
"91190","691","1871996","","1",,
"91190","691","1871997","","1",,
"91190","691","1871998","","1",,
"91190","691","1871999","","1",,
"91190","691","1872000","","1",,
"91190","691","1872001","","1",,
"91190","691","1872002","","1",,
"91191","692","1872215","","0",,
"91191","692","1872216","","0",,
"91191","692","1872217","","0",,
"91191","692","1872218","","0",,
"91191","692","1872219","","0",,
"91191","692","1872220","","0",,
"91191","692","1872221","","0",,
"91191","692","1872222","","0",,
"91191","692","1872223","","0",,
"91191","692","1872224","","0",,
"91191","692","1872225","","0",,
"91191","692","1872226","","0",,
"91191","692","1872227","","0",,
"91191","692","1872228","","0",,
"91191","692","1872229","","0",,
"91191","692","1872230","","0",,
"91191","692","1872231","","0",,
"91191","692","1872232","","0",,
"91191","692","1872233","","0",,
"91191","692","1872234","","0",,
"91191","692","1872235","","0",,
"91191","692","1872236","","0",,
"91191","692","1872237","","0",,
"91191","692","1872238","","0",,
"91191","692","1872239","","0",,
"91191","692","1872240","","0",,
"91191","692","1872241","","0",,
"91191","692","1872242","","0",,
"91191","692","1872243","","0",,
"91191","692","1872244","","0",,
"91191","692","1872245","","0",,
"91191","692","1872246","","0",,
"91191","691","1872247","","0",,
"91191","691","1872248","","0",,
"91191","691","1872249","","0",,
"91191","691","1872250","","0",,
"91191","691","1872251","","0",,
"91191","691","1872252","","0",,
"91191","691","1872253","","0",,
"91191","691","1872254","","0",,
"91191","691","1872255","","0",,
"91191","691","1872256","","0",,
"91191","691","1872257","","0",,
"91191","691","1872258","","0",,
"91191","691","1872259","","0",,
"91191","691","1872260","","0",,
"91191","691","1872261","","0",,
"91191","691","1872262","","0",,
"91191","691","1872263","","0",,
"91191","691","1872264","","0",,
"91191","691","1872265","","0",,
"91191","691","1872266","","0",,
"91191","691","1872267","","0",,
"91191","691","1872268","","0",,
"91191","691","1872269","","0",,
"91191","691","1872270","","0",,
"91191","691","1872271","","0",,
"91191","691","1872272","","0",,
"91191","691","1872273","","0",,
"91191","691","1872274","","0",,
"91191","691","1872275","","0",,
"91191","691","1872276","","0",,
"91191","691","1872277","","0",,
"91191","691","1872278","","0",,
"91191","691","1872279","","0",,
"91190","692","1871875","","1",,
"91190","692","1871876","","1",,
"91190","692","1871877","","1",,
"91190","692","1871878","","1",,
"91190","692","1871879","","1",,
"91190","692","1871880","","1",,
"91190","692","1871881","","1",,
"91190","692","1871882","","1",,
"91190","692","1871883","","1",,
"91190","692","1871884","","1",,
"91190","692","1871885","","1",,
"91190","692","1871886","","1",,
"91190","692","1871887","","1",,
"91190","692","1871888","","1",,
"91190","692","1871889","","1",,
"91190","692","1871890","","1",,
"91190","692","1871891","","1",,
"91190","692","1871892","","1",,
"91190","692","1871893","","1",,
"91190","692","1871894","","1",,
"91190","692","1871895","","1",,
"91190","692","1871896","","1",,
"91190","692","1871897","","1",,
"91190","692","1871898","","1",,
"91190","692","1871899","","1",,
"91190","692","1871900","","1",,
"91190","691","1871901","","1",,
"91190","691","1871902","","1",,
"91190","691","1871903","","1",,
"91190","691","1871904","","1",,
"91190","691","1871905","","1",,
"91190","691","1871906","","1",,
"91190","691","1871907","","1",,
"91190","691","1871908","","1",,
"91190","691","1871909","","1",,
"91190","691","1871910","","1",,
"91190","691","1871911","","1",,
"91190","691","1871912","","1",,
"91190","691","1871913","","1",,
"91190","691","1872003","","1",,
"91190","691","1872004","","1",,
"91190","691","1872005","","1",,
"91190","691","1872006","","1",,
"91190","691","1872007","","1",,
"91190","691","1872008","","1",,
"91190","691","1872009","","1",,
"91190","691","1872010","","1",,
"91190","691","1872011","","1",,
"91190","691","1872012","","1",,
"91190","691","1872013","","1",,
"91190","691","1872014","","1",,
"91190","691","1872015","","1",,
"91190","691","1872016","","1",,
"91190","691","1872017","","1",,
"91190","691","1872018","","1",,
"91190","691","1872019","","1",,
"91190","691","1872020","","1",,
"91190","691","1872021","","1",,
"91190","691","1872022","","1",,
"91190","691","1872023","","1",,
"91190","691","1872024","","1",,
"91190","691","1872026","","1",,
"91190","691","1872027","","1",,
"91190","691","1872028","","1",,
"91190","691","1872029","","1",,
"91190","691","1872030","","1",,
"91190","691","1872031","","1",,
"91190","691","1872032","","1",,
"91190","691","1872033","","1",,
"91190","691","1872034","","1",,
"91190","691","1872035","","1",,
"91190","691","1872036","","1",,
"91190","691","1872037","","1",,
"91190","691","1872038","","1",,
"91190","691","1872039","","1",,
"91190","691","1872040","","1",,
"91190","691","1872041","","1",,
"91190","691","1872042","","1",,
"91190","691","1872043","","1",,
"91190","691","1872044","","1",,
"91190","691","1872045","","1",,
"91190","691","1872046","","1",,
"91190","691","1872047","","1",,
