service_id,date,exception_type
S/H,20150328,1
S/H,20150402,1
S/H,20150403,1
S/H,20150414,1
S/H,20150501,1
S/H,20150504,1
S/H,20150718,1
S/H,20150815,1
S/H,20150518,1
S/H,20150917,1
S/H,20150925,1
S/H,20151002,1
S/H,20151022,1
S/H,20151024,1
S/H,20151111,1
S/H,20151112,1
S/H,20151224,1
S/H,20151225,1
FW,20150104,2
FW,20150126,2
FW,20150217,2
FW,20150219,2
FW,20150306,2
FW,20150321,2
FW,20150328,2
FW,20150402,2
FW,20150403,2
FW,20150414,2
FW,20150501,2
FW,20150504,2
FW,20150718,2
FW,20150815,2
FW,20150518,2
FW,20150917,2
FW,20150925,2
FW,20151002,2
FW,20151022,2
FW,20151024,2
FW,20151111,2
FW,20151112,2
FW,20151224,2
FW,20151225,2
SAT/SH,20150104,1
SAT/SH,20150126,1
SAT/SH,20150217,1
SAT/SH,20150219,1
SAT/SH,20150306,1
SAT/SH,20150321,1
SAT/SH,20150328,1
SAT/SH,20150402,1
SAT/SH,20150403,1
SAT/SH,20150414,1
SAT/SH,20150501,1
SAT/SH,20150504,1
SAT/SH,20150718,1
SAT/SH,20150815,1
SAT/SH,20150518,1
SAT/SH,20150917,1
SAT/SH,20150925,1
SAT/SH,20151002,1
SAT/SH,20151022,1
SAT/SH,20151024,1
SAT/SH,20151111,1
SAT/SH,20151112,1
SAT/SH,20151224,1
SAT/SH,20151225,1
MS&HOL,20150104,1
MS&HOL,20150126,1
MS&HOL,20150217,1
MS&HOL,20150219,1
MS&HOL,20150306,1
MS&HOL,20150321,1
MS&HOL,20150328,1
MS&HOL,20150402,1
MS&HOL,20150403,1
MS&HOL,20150414,1
MS&HOL,20150501,1
MS&HOL,20150504,1
MS&HOL,20150718,1
SAT/SUN/HOL,20151225,1
SAT&HOL,20150104,1
SAT&HOL,20150126,1
SAT&HOL,20150217,1
SAT&HOL,20150219,1
SAT&HOL,20150306,1
SAT&HOL,20150321,1
SAT&HOL,20150328,1
SAT&HOL,20150402,1
SAT&HOL,20150403,1
SAT&HOL,20150414,1
SAT&HOL,20150501,1
MS&HOL,20150815,1
MS&HOL,20150518,1
MS&HOL,20150917,1
MS&HOL,20150925,1
MS&HOL,20151002,1
MS&HOL,20151022,1
MS&HOL,20151024,1
MS&HOL,20151111,1
MS&HOL,20151112,1
MS&HOL,20151224,1
MS&HOL,20151225,1
SUN/HOL,20150104,1
SUN/HOL,20150126,1
SUN/HOL,20150217,1
SUN/HOL,20150219,1
SUN/HOL,20150306,1
SUN/HOL,20150321,1
SUN/HOL,20150328,1
SUN/HOL,20150402,1
SUN/HOL,20150403,1
SUN/HOL,20150414,1
SUN/HOL,20150501,1
SUN/HOL,20150504,1
SUN/HOL,20150718,1
2nd&4thSAT&HOL,20151224,2
SAT&HOL,20150504,1
SAT&HOL,20150718,1
SAT&HOL,20150815,1
SAT&HOL,20150518,1
SAT&HOL,20150917,1
SAT&HOL,20150925,1
SAT&HOL,20151002,1
SAT&HOL,20151022,1
SAT&HOL,20151024,1
SAT&HOL,20151111,1
SAT&HOL,20151112,1
SAT&HOL,20151224,1
SAT&HOL,20151225,1
HOL,20150104,1
HOL,20150126,1
HOL,20150217,1
HOL,20150219,1
HOL,20150306,1
HOL,20150321,1
HOL,20150328,1
HOL,20150402,1
HOL,20150403,1
HOL,20150414,1
HOL,20150501,1
HOL,20150504,1
HOL,20150718,1
HOL,20150815,1
HOL,20150518,1
HOL,20150917,1
HOL,20150925,1
HOL,20151002,1
HOL,20151022,1
HOL,20151024,1
HOL,20151111,1
HOL,20151112,1
HOL,20151224,1
HOL,20151225,1
SH,20150104,1
SH,20150126,1
SH,20150217,1
SH,20150219,1
SH,20150306,1
SH,20150321,1
SH,20150328,1
SH,20150402,1
SH,20150403,1
SH,20150414,1
SH,20150501,1
SH,20150504,1
SH,20150718,1
SH,20150815,1
SH,20150518,1
SH,20150917,1
SH,20150925,1
SH,20151002,1
SH,20151022,1
SH,20151024,1
SH,20151111,1
SH,20151112,1
SH,20151224,1
SH,20151225,1
SAT/HOL,20150104,1
SAT/HOL,20150126,1
SAT/HOL,20150217,1
SAT/HOL,20150219,1
SAT/HOL,20150306,1
SAT/HOL,20150321,1
SAT/HOL,20150328,1
SAT/HOL,20150402,1
SAT/HOL,20150403,1
SAT/HOL,20150414,1
SAT/HOL,20150501,1
SAT/HOL,20150504,1
SAT/HOL,20150718,1
SAT/HOL,20150815,1
SAT/HOL,20150518,1
SAT/HOL,20150917,1
SAT/HOL,20150925,1
SAT/HOL,20151002,1
SAT/HOL,20151022,1
SAT/HOL,20151024,1
SAT/HOL,20151111,1
SAT/HOL,20151112,1
SAT/HOL,20151224,1
SAT/HOL,20151225,1
2nd&4thSAT&HOL,20151112,2
2nd&4thSAT&HOL,20151225,2
